hand,ai_winnings
0,2
1,16
2,-75
3,16
4,-100
5,-100
6,1
7,16
8,18
9,8
10,10
11,1
12,8
13,-32
14,60
15,-100
16,8
17,100
18,-40
19,8
20,-100
21,-16
22,-16
23,4
24,-100
25,48
26,-100
27,-32
28,-30
29,-100
30,0
31,-40
32,-32
33,32
34,-100
35,0
36,100
37,8
38,0
39,-100
40,2
41,-30
42,2
43,32
44,-100
45,40
46,16
47,16
48,4
49,-20
50,-14
51,16
52,-100
53,-80
54,-100
55,-24
56,16
57,4
58,-100
59,16
60,2
61,-100
62,-60
63,32
64,-80
65,-60
66,-16
67,-100
68,2
69,-16
70,-100
71,0
72,32
73,4
74,32
75,-100
76,-24
77,-100
78,-8
79,-60
80,8
81,-60
82,100
83,16
84,-100
85,4
86,16
87,8
88,-6
89,-40
90,32
91,-8
92,-100
93,0
94,32
95,-100
96,-40
97,-24
98,-16
99,-14
